Ligand Name,Source,Docking Score,Molecular Weight,LogP,H-Bond Donors,H-Bond Acceptors,TPSA,Rotatable Bonds,QED Score,SA Score,Min Distance (Å),Close Interactions,Interaction Density
CHEMBL501667,ChEMBL,0.20962005461749034,1023.8260000000014,4.001200000000008,1,7,93.99000000000001,3,0.2655918644431288,0.1,0.6647050148712739,67,0.5929203539823009
CHEMBL153534,ChEMBL,0.20813990462038662,235.31600000000012,1.36192,2,4,82.22,4,0.6087812067669083,0.6,0.9915627761940212,13,0.4482758620689655
CHEMBL503643,ChEMBL,0.2069484157707868,233.22300000000004,2.0427999999999997,2,4,79.38999999999999,4,0.7948748727748411,0.5800000000000001,2.6151652202983917,6,0.21428571428571427
CHEMBL500195,ChEMBL,0.2057654458532123,628.7700000000019,3.0497000000000023,4,7,151.05999999999997,14,0.22522693036479294,0.1,0.7201081989855135,39,0.43333333333333335
CHEMBL500709,ChEMBL,0.20520289531910735,767.9290000000021,0.00017000000000821913,11,10,290.95,29,0.04065494517534417,0.1,0.5421705524994991,72,0.6428571428571429
AI_Gen_011,AI_Generated,0.20262972406838828,58.124000000000024,1.6622999999999999,0,0,0.0,0,0.3971180036971562,0.92,0.7981593910651847,12,0.8571428571428571
CHEMBL501665,ChEMBL,0.2020059654121734,985.1270000000027,0.6314000000000162,9,20,299.28,27,0.05608547846420204,0.1,0.7270342568273868,88,0.6068965517241379
CHEMBL501671,ChEMBL,0.20092430138206113,652.7950000000014,4.9428000000000045,4,9,163.25999999999996,12,0.25068692388638886,0.1,0.9550824741335229,39,0.48148148148148145
CHEMBL403325,ChEMBL,0.20060027461195928,438.56799999999964,3.584000000000003,3,5,89.87000000000002,12,0.5567814389703877,0.24,0.717491761389781,18,0.2727272727272727
CHEMBL501101,ChEMBL,0.20005735735944621,270.2659999999998,-0.25900000000000006,1,6,107.34000000000002,5,0.7668883574167434,0.56,1.1879307644050747,23,0.8214285714285714
CHEMBL503634,ChEMBL,0.19909344508870924,289.2869999999997,2.1281700000000003,5,6,114.0,9,0.5531499784487034,0.5,2.4088790664826623,8,0.2222222222222222
CHEMBL501943,ChEMBL,0.19734549182421227,698.7210000000016,5.836600000000008,4,12,170.44,23,0.08161599727860268,0.1,1.7321038491778873,34,0.38202247191011235
CHEMBL441569,ChEMBL,0.19711557581150072,903.0720000000028,3.9982000000000055,5,16,226.19999999999996,27,0.16644399594406256,0.1,0.7625156883921607,62,0.4626865671641791
CHEMBL501923,ChEMBL,0.19435938345634024,570.6820000000018,7.867500000000007,3,7,105.45,15,0.2684848249156679,0.1,0.39115177361263115,56,0.7
CHEMBL155287,ChEMBL,0.19389026701759238,263.0339999999999,1.4102000000000001,2,2,49.33,2,0.4569430623473998,0.74,3.341317657098908,3,0.17647058823529413
CHEMBL503870,ChEMBL,0.1927728985813863,622.6350000000015,1.1223000000000043,4,9,206.51999999999998,16,0.14987187338635805,0.1,0.9161858976702177,50,0.6329113924050633
CHEMBL264472,ChEMBL,0.19125224724500473,379.4599999999997,2.7349200000000016,0,5,53.09,7,0.5706417033757081,0.28,1.6274096881511146,18,0.33962264150943394
CHEMBL440444,ChEMBL,0.19065437525451975,1116.1120000000024,-7.107600000000019,17,24,480.8000000000001,21,0.0591392608318554,0.1,1.099711841003157,50,0.3546099290780142
CHEMBL1203224,ChEMBL,0.1905040642785572,479.0899999999996,4.575700000000004,0,6,56.75000000000001,10,0.41040358568415264,0.19999999999999996,0.4619329424099271,31,0.4626865671641791
CHEMBL500704,ChEMBL,0.1903660790562256,751.9290000000019,3.1298000000000066,7,7,212.73999999999998,22,0.07110063937676175,0.1,0.7038623072706272,42,0.3888888888888889
CHEMBL499520,ChEMBL,0.19025957389762224,438.5459999999997,3.7573000000000025,1,6,85.36,7,0.7115082020895332,0.26,2.063890626594642,19,0.36538461538461536
CHEMBL501672,ChEMBL,0.188829344772652,1023.2170000000029,2.5766000000000107,7,21,294.34999999999997,28,0.0792520470352885,0.1,1.1147367143697957,78,0.4968152866242038
AI_Gen_008,AI_Generated,0.18838410134593114,88.10599999999995,0.5694,0,2,26.3,3,0.43785087777866244,0.88,1.1731586387638848,10,0.7142857142857143
CHEMBL405225,ChEMBL,0.1868771997366018,355.48199999999963,4.552170000000004,1,3,30.330000000000005,4,0.747225104740126,0.33999999999999997,1.921501280534219,15,0.3191489361702128
AI_Gen_018,AI_Generated,0.18359070832693813,57.09600000000001,-0.02030000000000004,1,1,12.03,0,0.41174561161829554,0.88,0.8947436545227706,11,1.0
CHEMBL501674,ChEMBL,0.17740367117259445,656.7660000000022,1.443400000000003,3,13,171.97,17,0.2658657384269465,0.1,0.45711109074209905,64,0.6530612244897959
CHEMBL504077,ChEMBL,0.17601222973472724,618.6860000000016,6.875100000000007,0,8,78.93,11,0.21149286687366403,0.1,1.321171085525814,19,0.2375
AI_Gen_001,AI_Generated,0.1759004018013017,84.16199999999994,2.3406000000000002,0,0,0.0,0,0.42231618686094674,0.84,3.3972365612091617,4,0.2222222222222222
CHEMBL501944,ChEMBL,0.17416269074882562,768.9070000000022,9.51343999999999,6,10,153.23000000000002,20,0.09729316711578358,0.1,0.9777836055544453,34,0.3238095238095238
AI_Gen_007,AI_Generated,0.1711606602578537,58.08000000000002,0.5952999999999999,0,1,17.07,2,0.3982369618339747,0.92,0.6063400175592597,7,0.7
AI_Gen_003,AI_Generated,0.1706093941712202,60.052000000000014,0.09089999999999993,1,2,37.3,1,0.42988288320012163,0.92,2.7700448364168637,4,0.5
CHEMBL503865,ChEMBL,0.16574885619170068,580.5830000000018,0.4304000000000013,2,13,184.49,14,0.20208402023508054,0.1,1.375808435914221,20,0.2597402597402597
CHEMBL264137,ChEMBL,0.1595528829969363,500.49699999999973,-0.40689999999999804,2,12,171.96,14,0.369799541060043,0.18000000000000005,1.550561755836989,11,0.16417910447761194
AI_Gen_005,AI_Generated,0.15789590597979206,101.19299999999991,1.3481,0,1,3.24,6,0.5183748699715436,0.86,2.5200095439657244,8,0.36363636363636365
CHEMBL501922,ChEMBL,0.15636284983744936,528.5980000000006,3.793700000000003,0,9,121.64000000000001,10,0.32627183808951227,0.1,0.6624452015467001,59,0.7972972972972973
CHEMBL1082532,ChEMBL,0.15529826326286067,369.80399999999975,4.5259000000000045,4,5,93.28000000000002,8,0.4013649631455778,0.36,1.2301124906694236,18,0.42857142857142855
CHEMBL505943,ChEMBL,0.15010692707944012,265.36699999999985,2.3415999999999997,1,7,55.63,5,0.7207553955989293,0.54,2.2502398814151556,9,0.32142857142857145
CHEMBL405398,ChEMBL,0.14704415482245128,429.3219999999998,3.2750000000000012,2,7,75.2,6,0.6231140863863043,0.30000000000000004,2.268793693482559,11,0.22916666666666666
AI_Gen_004,AI_Generated,0.14255545535663716,45.085000000000015,-0.1644000000000001,1,1,12.03,2,0.39867093981547674,0.94,2.344455853586248,5,0.5
AI_Gen_016,AI_Generated,0.142362466041969,45.085000000000015,-0.03499999999999981,1,1,26.02,2,0.4062370953898832,0.94,2.9793329589710216,7,0.7
AI_Gen_019,AI_Generated,0.14057163359195837,72.10699999999997,0.7968,0,1,9.23,0,0.41093760104934907,0.86,1.98850701788727,8,0.6153846153846154
AI_Gen_017,AI_Generated,0.13127091504825106,74.12299999999995,1.0428000000000002,0,1,9.23,4,0.47526814893586516,0.9,2.291545624756169,4,0.26666666666666666
AI_Gen_010,AI_Generated,0.11796752699548134,78.11399999999996,1.6866,0,0,0.0,0,0.4426283718993647,0.84,3.6819102085856485,1,0.08333333333333333
AI_Gen_009,AI_Generated,0.11654664241383281,59.06800000000002,-0.5084000000000002,1,1,43.09,1,0.4010309227553837,0.92,5.33579439606799,0,0.0
AI_Gen_014,AI_Generated,0.11524079465218012,58.08000000000001,0.40670000000000006,0,1,9.23,0,0.3916450287186053,0.88,1.9082942061663424,5,0.5
AI_Gen_006,AI_Generated,0.10528194252926124,42.08100000000002,1.1703,0,0,0.0,0,0.3814250421649592,0.9,6.054399140035242,0,0.0
